,label,magnitude,method,model,param_var,single_model_auc
46,Lung Lesion,0.0,NO_TTA,VGG16,0.0,0.2885572139303483
47,Edema,0.0,NO_TTA,VGG16,0.0,0.9386904761904762
48,Consolidation,0.0,NO_TTA,VGG16,0.0,0.8777573529411764
49,Pneumonia,0.0,NO_TTA,VGG16,0.0,0.6617268041237113
50,Atelectasis,0.0,NO_TTA,VGG16,0.0,0.8100787401574802
51,Pneumothorax,0.0,NO_TTA,VGG16,0.0,0.7816849816849816
52,Pleural Effusion,0.0,NO_TTA,VGG16,0.0,0.919044384057971
53,Pleural Other,0.0,NO_TTA,VGG16,0.0,0.7761194029850746
54,Fracture,0.0,NO_TTA,VGG16,0.0,
55,Support Devices,0.0,NO_TTA,VGG16,0.0,0.8919289987251152
56,No Finding,0.0,NO_TTA,VGG19,0.0,0.9158653846153846
57,Enlarged Cardiomediastinum,0.0,NO_TTA,VGG19,0.0,0.5989199803632794
58,Cardiomegaly,0.0,NO_TTA,VGG19,0.0,0.8013591800356505
59,Lung Opacity,0.0,NO_TTA,VGG19,0.0,0.8898944193061841
60,Lung Lesion,0.0,NO_TTA,VGG19,0.0,0.13432835820895528
61,Edema,0.0,NO_TTA,VGG19,0.0,0.9318452380952381
62,Consolidation,0.0,NO_TTA,VGG19,0.0,0.8806985294117647
63,Pneumonia,0.0,NO_TTA,VGG19,0.0,0.6282216494845361
64,Atelectasis,0.0,NO_TTA,VGG19,0.0,0.8049343832020998
65,Pneumothorax,0.0,NO_TTA,VGG19,0.0,0.76996336996337
66,Pleural Effusion,0.0,NO_TTA,VGG19,0.0,0.9329710144927537
67,Pleural Other,0.0,NO_TTA,VGG19,0.0,0.9154228855721394
68,Fracture,0.0,NO_TTA,VGG19,0.0,
69,Support Devices,0.0,NO_TTA,VGG19,0.0,0.8866333235265274
70,No Finding,0.0,NO_TTA,Xception,0.0,0.9005681818181818
71,Enlarged Cardiomediastinum,0.0,NO_TTA,Xception,0.0,0.5702503681885125
72,Cardiomegaly,0.0,NO_TTA,Xception,0.0,0.8137254901960784
73,Lung Opacity,0.0,NO_TTA,Xception,0.0,0.8792357968828557
74,Lung Lesion,0.0,NO_TTA,Xception,0.0,0.5472636815920398
75,Edema,0.0,NO_TTA,Xception,0.0,0.9056547619047619
76,Consolidation,0.0,NO_TTA,Xception,0.0,0.8709558823529412
77,Pneumonia,0.0,NO_TTA,Xception,0.0,0.7255154639175259
78,Atelectasis,0.0,NO_TTA,Xception,0.0,0.8053543307086615
79,Pneumothorax,0.0,NO_TTA,Xception,0.0,0.7860805860805861
80,Pleural Effusion,0.0,NO_TTA,Xception,0.0,0.9237998188405797
81,Pleural Other,0.0,NO_TTA,Xception,0.0,0.8955223880597015
82,Fracture,0.0,NO_TTA,Xception,0.0,
83,Support Devices,0.0,NO_TTA,Xception,0.0,0.8614298323036188
84,No Finding,0.0,NO_TTA,InceptionResNetV2,0.0,0.8754370629370629
85,Enlarged Cardiomediastinum,0.0,NO_TTA,InceptionResNetV2,0.0,0.5660284732449681
86,Cardiomegaly,0.0,NO_TTA,InceptionResNetV2,0.0,0.8130570409982175
87,Lung Opacity,0.0,NO_TTA,InceptionResNetV2,0.0,0.8731020613373556
88,Lung Lesion,0.0,NO_TTA,InceptionResNetV2,0.0,0.12437810945273631
89,Edema,0.0,NO_TTA,InceptionResNetV2,0.0,0.9279761904761905
90,Consolidation,0.0,NO_TTA,InceptionResNetV2,0.0,0.883639705882353
91,Pneumonia,0.0,NO_TTA,InceptionResNetV2,0.0,0.7074742268041236
92,Atelectasis,0.0,NO_TTA,InceptionResNetV2,0.0,0.7731233595800526
93,Pneumothorax,0.0,NO_TTA,InceptionResNetV2,0.0,0.8805860805860806
94,Pleural Effusion,0.0,NO_TTA,InceptionResNetV2,0.0,0.9189311594202899
95,Pleural Other,0.0,NO_TTA,InceptionResNetV2,0.0,0.8407960199004976
96,Fracture,0.0,NO_TTA,InceptionResNetV2,0.0,
97,Support Devices,0.0,NO_TTA,InceptionResNetV2,0.0,0.8464254192409532
98,No Finding,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8994755244755244
99,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.5795778105056455
100,Cardiomegaly,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8379010695187166
101,Lung Opacity,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8985419808949221
102,Lung Lesion,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.14925373134328357
103,Edema,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9142857142857143
104,Consolidation,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8738970588235295
105,Pneumonia,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.6817010309278351
106,Atelectasis,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8174278215223097
107,Pneumothorax,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.7787545787545787
108,Pleural Effusion,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9165534420289856
109,Pleural Other,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8308457711442786
110,Fracture,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,
111,Support Devices,1.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8884966166519566
112,No Finding,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9042832167832168
113,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.5168384879725086
114,Cardiomegaly,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8364527629233511
115,Lung Opacity,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9138260432378079
116,Lung Lesion,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.09452736318407962
117,Edema,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9322916666666666
118,Consolidation,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8648897058823529
119,Pneumonia,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.705541237113402
120,Atelectasis,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.7926509186351706
121,Pneumothorax,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8879120879120879
122,Pleural Effusion,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9151947463768115
123,Pleural Other,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.6965174129353233
124,Fracture,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,
125,Support Devices,1.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8832990095126017
126,No Finding,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8946678321678322
127,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.5304860088365243
128,Cardiomegaly,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8407976827094474
129,Lung Opacity,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8916038210155858
130,Lung Lesion,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.31343283582089554
131,Edema,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9206845238095238
132,Consolidation,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8654411764705883
133,Pneumonia,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.76159793814433
134,Atelectasis,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.7751181102362203
135,Pneumothorax,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8534798534798534
136,Pleural Effusion,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9249320652173914
137,Pleural Other,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9253731343283582
138,Fracture,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,
139,Support Devices,1.0,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8949691085613416
140,No Finding,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.9016608391608392
141,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.5555228276877762
142,Cardiomegaly,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.8113859180035651
143,Lung Opacity,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.8792357968828556
144,Lung Lesion,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.2885572139303483
145,Edema,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.9386904761904762
146,Consolidation,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.8777573529411764
147,Pneumonia,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.6617268041237113
148,Atelectasis,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.8100787401574802
149,Pneumothorax,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.7816849816849816
150,Pleural Effusion,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.919044384057971
151,Pleural Other,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.7761194029850746
152,Fracture,1.0,NOFLIP/ORIGINAL,VGG16,0.0,
153,Support Devices,1.0,NOFLIP/ORIGINAL,VGG16,0.0,0.8919289987251152
154,No Finding,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.9158653846153846
155,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.5989199803632794
156,Cardiomegaly,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.8013591800356505
157,Lung Opacity,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.8898944193061841
158,Lung Lesion,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.13432835820895528
159,Edema,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.9318452380952381
160,Consolidation,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.8806985294117647
161,Pneumonia,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.6282216494845361
162,Atelectasis,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.8049343832020998
163,Pneumothorax,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.76996336996337
164,Pleural Effusion,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.9329710144927537
165,Pleural Other,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.9154228855721394
166,Fracture,1.0,NOFLIP/ORIGINAL,VGG19,0.0,
167,Support Devices,1.0,NOFLIP/ORIGINAL,VGG19,0.0,0.8866333235265274
168,No Finding,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.9005681818181818
169,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.5702503681885125
170,Cardiomegaly,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8137254901960784
171,Lung Opacity,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8792357968828557
172,Lung Lesion,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.5472636815920398
173,Edema,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.9056547619047619
174,Consolidation,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8709558823529412
175,Pneumonia,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.7255154639175259
176,Atelectasis,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8053543307086615
177,Pneumothorax,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.7860805860805861
178,Pleural Effusion,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.9237998188405797
179,Pleural Other,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8955223880597015
180,Fracture,1.0,NOFLIP/ORIGINAL,Xception,0.0,
181,Support Devices,1.0,NOFLIP/ORIGINAL,Xception,0.0,0.8614298323036188
182,No Finding,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8754370629370629
183,Enlarged Cardiomediastinum,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.5660284732449681
184,Cardiomegaly,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8130570409982175
185,Lung Opacity,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8731020613373556
186,Lung Lesion,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.12437810945273631
187,Edema,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.9279761904761905
188,Consolidation,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.883639705882353
189,Pneumonia,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.7074742268041236
190,Atelectasis,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.7731233595800526
191,Pneumothorax,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8805860805860806
192,Pleural Effusion,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.9189311594202899
193,Pleural Other,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8407960199004976
194,Fracture,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,
195,Support Devices,1.0,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8464254192409532
196,No Finding,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8994755244755244
197,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.5795778105056455
198,Cardiomegaly,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8379010695187166
199,Lung Opacity,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8985419808949221
200,Lung Lesion,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.14925373134328357
201,Edema,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9142857142857143
202,Consolidation,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8738970588235295
203,Pneumonia,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.6817010309278351
204,Atelectasis,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8174278215223097
205,Pneumothorax,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.7787545787545787
206,Pleural Effusion,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9165534420289856
207,Pleural Other,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8308457711442786
208,Fracture,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,
209,Support Devices,1.5,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8884966166519566
210,No Finding,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9042832167832168
211,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.5168384879725086
212,Cardiomegaly,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8364527629233511
213,Lung Opacity,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9138260432378079
214,Lung Lesion,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.09452736318407962
215,Edema,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9322916666666666
216,Consolidation,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8648897058823529
217,Pneumonia,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.705541237113402
218,Atelectasis,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.7926509186351706
219,Pneumothorax,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8879120879120879
220,Pleural Effusion,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9151947463768115
221,Pleural Other,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.6965174129353233
222,Fracture,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,
223,Support Devices,1.5,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8832990095126017
224,No Finding,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8946678321678322
225,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.5304860088365243
226,Cardiomegaly,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8407976827094474
227,Lung Opacity,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8916038210155858
228,Lung Lesion,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.31343283582089554
229,Edema,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9206845238095238
230,Consolidation,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8654411764705883
231,Pneumonia,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.76159793814433
232,Atelectasis,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.7751181102362203
233,Pneumothorax,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8534798534798534
234,Pleural Effusion,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9249320652173914
235,Pleural Other,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.9253731343283582
236,Fracture,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,
237,Support Devices,1.5,NOFLIP/ORIGINAL,DenseNet201,0.0,0.8949691085613416
238,No Finding,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.9016608391608392
239,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.5555228276877762
240,Cardiomegaly,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.8113859180035651
241,Lung Opacity,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.8792357968828556
242,Lung Lesion,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.2885572139303483
243,Edema,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.9386904761904762
244,Consolidation,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.8777573529411764
245,Pneumonia,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.6617268041237113
246,Atelectasis,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.8100787401574802
247,Pneumothorax,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.7816849816849816
248,Pleural Effusion,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.919044384057971
249,Pleural Other,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.7761194029850746
250,Fracture,1.5,NOFLIP/ORIGINAL,VGG16,0.0,
251,Support Devices,1.5,NOFLIP/ORIGINAL,VGG16,0.0,0.8919289987251152
252,No Finding,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.9158653846153846
253,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.5989199803632794
254,Cardiomegaly,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.8013591800356505
255,Lung Opacity,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.8898944193061841
256,Lung Lesion,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.13432835820895528
257,Edema,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.9318452380952381
258,Consolidation,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.8806985294117647
259,Pneumonia,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.6282216494845361
260,Atelectasis,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.8049343832020998
261,Pneumothorax,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.76996336996337
262,Pleural Effusion,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.9329710144927537
263,Pleural Other,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.9154228855721394
264,Fracture,1.5,NOFLIP/ORIGINAL,VGG19,0.0,
265,Support Devices,1.5,NOFLIP/ORIGINAL,VGG19,0.0,0.8866333235265274
266,No Finding,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.9005681818181818
267,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.5702503681885125
268,Cardiomegaly,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8137254901960784
269,Lung Opacity,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8792357968828557
270,Lung Lesion,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.5472636815920398
271,Edema,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.9056547619047619
272,Consolidation,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8709558823529412
273,Pneumonia,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.7255154639175259
274,Atelectasis,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8053543307086615
275,Pneumothorax,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.7860805860805861
276,Pleural Effusion,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.9237998188405797
277,Pleural Other,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8955223880597015
278,Fracture,1.5,NOFLIP/ORIGINAL,Xception,0.0,
279,Support Devices,1.5,NOFLIP/ORIGINAL,Xception,0.0,0.8614298323036188
280,No Finding,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8754370629370629
281,Enlarged Cardiomediastinum,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.5660284732449681
282,Cardiomegaly,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8130570409982175
283,Lung Opacity,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8731020613373556
284,Lung Lesion,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.12437810945273631
285,Edema,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.9279761904761905
286,Consolidation,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.883639705882353
287,Pneumonia,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.7074742268041236
288,Atelectasis,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.7731233595800526
289,Pneumothorax,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8805860805860806
290,Pleural Effusion,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.9189311594202899
291,Pleural Other,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8407960199004976
292,Fracture,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,
293,Support Devices,1.5,NOFLIP/ORIGINAL,InceptionResNetV2,0.0,0.8464254192409532
294,No Finding,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8994755244755244
295,Enlarged Cardiomediastinum,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.5795778105056455
296,Cardiomegaly,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8379010695187166
297,Lung Opacity,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8985419808949221
298,Lung Lesion,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.14925373134328357
299,Edema,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9142857142857143
300,Consolidation,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8738970588235295
301,Pneumonia,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.6817010309278351
302,Atelectasis,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8174278215223097
303,Pneumothorax,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.7787545787545787
304,Pleural Effusion,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.9165534420289856
305,Pleural Other,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8308457711442786
306,Fracture,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,
307,Support Devices,2.0,NOFLIP/ORIGINAL,DenseNet121,0.0,0.8884966166519566
308,No Finding,2.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.9042832167832168
309,Enlarged Cardiomediastinum,2.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.5168384879725086
310,Cardiomegaly,2.0,NOFLIP/ORIGINAL,DenseNet169,0.0,0.8364527629233511
